index,formula,score,Eform
1,12-TbClF-216-6192396,0.999959588,0.000360513
2,16-Ba2ClO-225-715163,0.999987602,0.000799127
3,16-BaBeF2-225-2281339,0.999988437,0.00109692
4,16-BaBeF2-225-4871733,0.99993968,0.001164551
5,16-BaBrO2-225-4487876,0.999993682,-0.000626109
6,16-BaBrO2-225-7659324,0.999995589,-0.000594582
7,16-BaErO2-225-4737300,0.999970078,-0.00014843
8,16-BaErO2-225-7980704,0.999977589,-0.000151837
9,16-BaEuO2-225-3713626,0.999929309,-0.000791589
10,16-BaEuO2-225-5015247,0.999932289,-0.000792746
11,16-BaNaO2-225-852572,0.999964952,0.000407652
12,16-BaNdF2-225-8152338,0.999933004,0.002419333
13,16-BaPrO2-225-2592444,0.999960423,-0.000530916
14,16-BaPrO2-225-6887195,0.999931097,-0.000529048
15,16-BaYbO2-225-4263928,0.999987006,-0.001016133
16,16-BiClF2-225-7830126,0.99993825,0.001516389
17,16-CaSO2-225-3627194,0.99993825,0.000717039
18,16-CeSiO2-225-758718,0.999988914,-0.001536008
19,16-CeSiO2-225-7830067,0.999991894,-0.001521569
20,16-Cs2ClO-225-113435,0.999956965,-0.000231658
21,16-Cs2TmF-225-3734888,0.999958515,0.000766743
22,16-CsScF2-225-258485,0.999944925,0.001223682
23,16-CsYbO2-225-8087630,0.999942422,-0.001514385
24,16-CsYbO2-225-9202127,0.999974489,-0.001517775
25,16-ErPbO2-225-2121021,0.999995947,-0.000115665
26,16-GdBrF2-225-2308705,0.999924779,0.00113502
27,16-GdLuF2-225-3530916,0.999927163,0.001752954
28,16-GdPtO2-225-7076077,0.999940634,-0.000697833
29,16-HoBrO2-225-7077361,0.999984026,-0.001430267
30,16-LaInO2-225-7984079,0.999922276,-0.001358665
31,16-NdGeO2-225-2692652,0.999995589,-0.001866066
32,16-NdHfF2-225-3055172,0.999948502,0.001575675
33,16-NdSeO2-225-6592667,0.999965906,-0.000219627
34,16-PrSiF2-225-6843828,0.999956965,0.001180379
35,16-PrTeO2-225-5535850,0.999983788,-0.001457239
36,16-PrTeO2-225-999713,0.999973893,-0.001436474
37,16-SmPF2-225-7896979,0.999975443,0.000626858
38,16-SrSeO2-225-2588596,0.999996424,-0.000927289
39,16-SrSeO2-225-7759424,0.999940991,-0.001048852
40,16-SrSiO2-225-5294183,0.999994516,-0.001531545
41,16-SrTeF2-225-2564272,0.999978304,0.000778347
42,16-TbErO2-225-4780037,0.99992311,-0.001302778
43,16-TbHoO2-225-4968294,0.999963522,-0.002160067
44,16-TbLuO2-225-6603430,0.999941826,-0.001102317
45,16-TmSeO2-225-4492319,0.999987006,-0.000861171
46,16-TmSeO2-225-7561075,0.999995708,-0.000836144
47,32-AcBrF6-225-2330754,0.999969363,-0.000124921
48,32-AcCF6-225-2155504,0.999948025,-0.002526548
49,32-AcErO6-216-1787794,0.999949574,-0.002066006
50,32-AcGaO6-216-8718984,0.999959707,-0.003048472
51,32-AcIO6-225-8431862,1,-0.002001362
52,32-AcLuF6-225-3336343,0.999987602,0.001757237
53,32-AcPF6-216-8452373,0.999965429,0.001236605
54,32-AcPtO6-216-3035452,0.999985456,-0.001863566
55,32-AcReF6-225-8743431,0.999961615,0.000895072
56,32-AcZrF6-216-1032745,0.999943256,-0.00088301
57,32-AcZrF6-216-18415,0.999961495,0.001095583
58,32-AgBrO6-216-3389340,0.999999881,-0.002060257
59,32-AgMoO6-216-7936080,0.999998569,-0.002407132
60,32-AgSeO6-216-7184212,0.999999166,-0.001976002
61,32-AgSeO6-216-7740415,0.999999762,-0.00201337
62,32-AgSF6-216-4842309,0.99997139,0.002137848
63,32-AgSF6-216-6887420,0.999937534,0.002070888
64,32-AgSF6-216-748233,0.999956965,-0.000181988
65,32-AlAgO6-225-4473549,0.999977708,-0.002023497
66,32-AlBiF6-225-1565084,0.999962687,0.00173773
67,32-AlInF6-216-7120614,0.999921679,-0.000498164
68,32-AlInF6-216-8693255,0.999929667,0.001435578
69,32-AlMoO6-216-649928,0.999999642,-0.00215298
70,32-AlNF6-216-9836889,0.999954224,0.001775102
71,32-AlPdF6-216-8069276,0.999926209,0.002041379
72,32-AlSbF6-216-4775791,0.999977589,0.001570377
73,32-AlZnO6-216-4052364,0.99999702,-0.002082432
74,32-AlZnO6-216-6403150,0.99999404,-0.00205118
75,32-AlZnO6-225-4528692,0.999995589,-0.002084592
76,32-AsCF6-216-4597525,0.999970913,-0.001786075
77,32-AuClF6-216-3357379,0.999982357,-0.002240757
78,32-AuClF6-216-9235778,0.999974132,0.001478202
79,32-AuClF6-216-9364336,0.999967217,0.00129278
80,32-AuIF6-216-113971,0.999921083,0.001485103
81,32-AuIF6-216-536878,0.999988794,0.001634502
82,32-BaCaO6-216-2468358,0.999996424,-0.001394926
83,32-BaCdF6-216-5697772,0.999937057,-0.001233653
84,32-BaErF6-225-6764311,0.999964714,0.000488063
85,32-BaHoO6-216-2318125,0.999942064,-0.003034619
86,32-BaLaO6-216-4768218,0.999999881,-0.001598344
87,32-BaPF6-216-7311073,0.9999578,0.000935379
88,32-BaPO6-216-1900198,0.999999285,-0.001959141
89,32-BaPO6-216-2776181,0.999999881,-0.001907581
90,32-BaPrF6-216-5436018,0.999985576,0.001934242
91,32-BaPuO6-216-2240528,0.999996066,-0.001580698
92,32-BaReF6-216-2873466,0.99992156,0.001539788
93,32-BaSO6-225-617921,0.999980569,-0.002061217
94,32-BaSO6-225-8448551,0.999946117,-0.001960591
95,32-BaSrF6-216-308515,0.999987602,0.001822261
96,32-BaSrF6-216-7210522,0.999993801,0.001794158
97,32-BaTaO6-216-1902550,0.999999166,-0.001941203
98,32-BAuO6-216-659031,0.999999762,-0.002274788
99,32-BAuO6-216-9191911,0.999998331,-0.002266011
100,32-BaYbO6-216-4013420,0.999938726,-0.001967575
101,32-BaYbO6-216-611515,0.999999881,-0.001925038
102,32-BaYbO6-216-8861364,0.999981403,-0.002555185
103,32-BBrF6-216-2173027,0.999998212,0.001692271
104,32-BeCF6-216-7801232,0.999975324,0.000413657
105,32-BePtF6-216-876,0.999989629,0.001730858
106,32-BeSF6-216-6932072,0.999975801,0.001896664
107,32-BeSF6-216-9555480,0.99999249,0.001865225
108,32-BeVO6-216-9279634,0.999922872,-0.002339995
109,32-BiCF6-216-2956340,0.999988914,0.000633008
110,32-BiClF6-216-6338064,0.999960184,0.00175149
111,32-BiIF6-216-408574,0.999985814,0.001942423
112,32-BiIF6-216-7529649,0.999958158,0.000354543
113,32-BIO6-216-2452622,0.999967456,-0.001704465
114,32-BIO6-216-5525591,1,-0.001669252
115,32-BiWO6-216-1301785,0.999995828,-0.001822667
116,32-BOF6-216-5507631,0.999932766,-0.001364347
117,32-BPdO6-216-5383992,0.999999166,-0.001734554
118,32-BrClO6-216-1162857,0.999942541,-0.004735556
119,32-BrClO6-216-5964139,0.999999762,-0.001823907
120,32-BrClO6-216-7890133,0.999999881,-0.001830223
121,32-BrOF6-216-3476463,0.999965072,-0.001338347
122,32-BSbF6-216-1410282,0.999993205,0.001546898
123,32-BSbF6-216-4547474,0.99999845,0.0014913
124,32-BSbF6-216-5117752,0.9999789,0.001599553
125,32-BSeF6-216-3344995,0.999935746,0.001939832
126,32-BSeF6-216-3535903,0.999976993,0.001924494
127,32-BSeF6-216-3908735,0.999974966,0.001903502
128,32-BSF6-216-6860743,0.99997282,0.002370727
129,32-BSO6-216-7222587,0.999999881,-0.00137522
130,32-CaCdF6-216-1041231,0.999946952,0.001187088
131,32-CaCdF6-216-1443244,0.999996781,0.001257527
132,32-CaNbO6-216-7863417,0.999994278,-0.001977644
133,32-CaPmO6-216-8337554,0.999967456,-0.001892894
134,32-CaPuF6-216-3405629,0.9999789,0.00221908
135,32-CaTeO6-216-4677113,0.999995828,-0.002628299
136,32-CaTeO6-216-7324886,0.999999762,-0.001843173
137,32-CBrF6-225-1128163,0.9999789,0.000698025
138,32-CBrF6-225-7544113,0.999948859,-0.000360521
139,32-CClF6-225-4766864,0.99998951,-0.000800508
140,32-CClF6-225-8861708,0.999974608,-0.000342246
141,32-CdBF6-225-8028765,0.999977112,0.000980003
142,32-CdCF6-216-5541820,0.999983311,-0.002888629
143,32-CdSF6-216-1243475,0.999985933,-0.001943844
144,32-CdSF6-216-1318117,0.999972343,-0.000891268
145,32-CeAgF6-216-4238126,0.99999845,0.001456031
146,32-CeClO6-216-5899813,0.999999762,-0.001925345
147,32-CeCO6-216-137504,0.999999642,-0.00293561
148,32-CeCO6-216-708656,0.999987125,-0.002932367
149,32-CeErF6-216-494610,0.999985576,0.001840817
150,32-CeErF6-216-9682080,0.999992728,0.001818645
